               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.017391,           0.0046745,                   0,             0.99784,                   1,               0.995,             0.71581,            0.020491,           0.0048378,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.017182,           0.0047123,                   0,             0.99961,             0.99667,               0.995,             0.71462,            0.020147,           0.0047665,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.017106,           0.0046728,                   0,             0.99912,                   1,               0.995,             0.69888,            0.020959,           0.0048395,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.017116,           0.0045641,                   0,             0.99925,             0.99667,               0.995,             0.70066,             0.02107,           0.0049069,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.017095,           0.0046225,                   0,             0.99863,                   1,               0.995,             0.72098,            0.020303,           0.0049244,                   0,            0.008614,            0.008614,            0.008614
                  44,             0.01666,           0.0045379,                   0,             0.99901,                   1,               0.995,             0.71726,            0.020445,           0.0048444,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.016914,           0.0045945,                   0,             0.99917,                   1,               0.995,             0.72096,            0.020024,           0.0047593,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.016686,           0.0044843,                   0,              0.9996,                   1,               0.995,             0.70079,            0.021315,           0.0050622,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.016552,           0.0045062,                   0,             0.99963,                   1,               0.995,             0.69584,            0.021503,           0.0051064,                   0,            0.008482,            0.008482,            0.008482
                  48,             0.01652,           0.0044578,                   0,             0.99665,                   1,               0.995,             0.71021,            0.020134,           0.0048489,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.016297,           0.0045225,                   0,             0.99964,             0.99667,               0.995,             0.72104,            0.020102,           0.0049353,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.016085,            0.004502,                   0,             0.99867,                   1,               0.995,             0.71842,            0.020149,           0.0049909,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.01578,           0.0044973,                   0,             0.99983,                   1,               0.995,             0.71348,            0.020003,           0.0049877,                   0,             0.00835,             0.00835,             0.00835
