               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.019902,           0.0053778,                   0,             0.99992,                   1,               0.995,             0.71281,            0.020276,           0.0046767,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.019489,           0.0052393,                   0,              0.9997,                   1,               0.995,             0.73045,            0.019005,           0.0045651,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.019657,           0.0053104,                   0,             0.99964,                   1,               0.995,             0.72572,            0.019657,           0.0045653,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.019073,           0.0053101,                   0,             0.99975,                   1,               0.995,             0.73097,            0.019476,           0.0045057,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.019492,           0.0052347,                   0,             0.99969,                   1,               0.995,              0.7276,            0.019572,           0.0044969,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.019224,           0.0052297,                   0,             0.99978,                   1,               0.995,             0.72964,            0.019531,            0.004468,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.019292,           0.0050702,                   0,             0.99962,                   1,               0.995,              0.7197,            0.019642,            0.004535,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.019241,           0.0051087,                   0,             0.99962,                   1,               0.995,              0.7256,            0.019847,           0.0045785,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.01938,           0.0053338,                   0,             0.99976,                   1,               0.995,             0.72667,             0.02002,            0.004684,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.018642,           0.0051092,                   0,             0.99978,                   1,               0.995,             0.73457,            0.019077,           0.0044998,                   0,            0.008449,            0.008449,            0.008449
                  49,             0.01905,           0.0052193,                   0,             0.99936,                   1,               0.995,             0.72469,            0.019642,           0.0046086,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.018909,           0.0050765,                   0,             0.99971,                   1,               0.995,             0.72972,            0.019987,           0.0046514,                   0,            0.008383,            0.008383,            0.008383
